,word,attn_mean,counts
304,すぎる,0.02778880498136959,240
305,本当に,0.037188656355342464,219
306,同,0.037943671958522725,44
307,高い,0.026173697354815215,276
308,推,8.724267e-05,1
309,見える,0.013792982670666323,242
310,##かけて,0.0570896947475,8
311,違う,0.0027872432254143374,279
312,受ける,0.025961884262576927,208
313,みる,0.024627202322879002,462
314,本当,0.007022695084090909,22
315,##は,0.012887520476054053,74
316,後ろ,0.0045890510844,5
317,##めた,0.0050782279,5
318,こういう,0.051124514817714975,167
319,つく,0.013231288163899563,229
320,追,0.0035798858770999995,10
321,##っか,0.007407909002840579,69
322,##ける,0.004929405747614661,266
323,生きる,0.006291734785689908,218
324,より,0.056396164894467984,581
325,稼ぐ,0.0110853836745283,53
326,洗,0.015236441698217147,35
327,待つ,0.013788982970661643,73
328,とく,0.010809149221199998,50
329,それ,0.0026986147210446734,291
330,##も,0.013006154025008427,261
331,集める,0.006834707774391305,46
332,各,0.009965230504827585,29
333,そういった,0.11115739192233333,24
334,荒,0.004796682174833334,42
335,中でも,0.26478108837450004,4
336,比較的,0.20714533779574074,27
337,叩く,0.008756526937900416,96
338,ただ,0.33797154250175515,245
339,いずれ,0.10712384525625002,16
340,##対,0.011588911090516501,297
341,##して,0.016855685226871288,303
342,##らす,0.010652160018810608,66
343,恐らく,0.20062121744416003,25
344,未だ,0.17138451221849998,10
345,つい,0.12905541713645455,33
346,振り,0.006817999878192308,26
347,##ざ,0.0018474866920277777,90
348,味,0.0054765783178571436,7
349,##わう,0.0010243501742857144,7
350,おかしい,0.026550141598622134,122
351,辿る,0.0166790794,6
352,ところが,0.14425619540499995,10
353,多い,0.010091822162475521,478
354,覚える,0.03573706209476219,82
355,買う,0.010803204642867,300
356,わかる,0.012018807532313148,597
357,勧める,0.012085698656857142,14
358,行く,0.01432995902657258,558
359,経つ,0.010173503794127868,61
360,突然,0.017037690632378377,37
361,分かる,0.007971364923558695,322
362,喋,0.0013039559394999998,38
363,つつ,0.07240396291775228,109
364,うまい,0.03405478221009091,110
365,作る,0.00947316340541875,320
366,楽しい,0.034330767971318364,147
367,合う,0.041351397316867475,83
368,段,0.0114188634375,4
369,しかし,0.1468361329813212,269
370,っぽい,0.08059072530683414,82
371,##さい,0.024658178102289853,69
372,向き,0.0031534859549411758,17
373,踏み,0.0034699601943750003,24
374,##込む,0.011955369894352337,321
375,意,0.0036564510689259255,27
376,##外,0.0017905889552926831,41
377,やすい,0.017996814370421683,166
378,深い,0.04721939360758974,39
379,抱え,0.20860224146239997,5
380,なんか,0.1066981361499968,311
381,損,0.009012027338749999,8
382,##ねる,0.004945421179909303,43
383,会う,0.013434667440223633,55
384,かた,0.00046488909699999995,5
385,いった,0.0030891224425000003,8
386,開き,0.00412576415,4
387,##直,0.0003261040488,5
388,##関,0.011847938495177218,79
389,##する,0.00786728691821583,139
390,まして,0.5455269766644445,9
391,単なる,0.04589471573715384,26
392,##めん,0.01107326482,26
393,##な,0.007352442853666087,115
394,へ,0.008199522409695582,326
395,##ぇ,0.024107221118249998,44
396,あり,0.03874506275999383,81
397,##がた,0.0016301268849583331,24
398,かく,0.010276381774799998,25
399,唱える,0.005942537883749998,12
400,##える,0.009224034674165252,278
401,相応しい,0.013688882373333334,3
402,##き,0.011835643672607143,42
403,##まえ,0.0026580405877999996,8
404,##いった,0.04611949713245613,57
405,残す,0.019476435563555813,43
406,感じる,0.01834501597012439,287
407,こそ,0.11307162588652174,115
408,しょう,0.0108890882,5
409,まずは,0.0398293215564,25
410,初めて,0.04012017594078125,80
411,乗せる,0.0015948762275185186,27
412,食べる,0.007838607422576088,184
413,とって,0.04167270931711111,9
414,美味,0.0023849042331698118,53
415,##しい,0.004889063530438506,335
416,つける,0.011270534332838917,203
417,吸い,0.0043155903188117645,17
418,ゆっくり,0.0053394469512,20
419,吐き,0.0029295071597499997,20
420,##出す,0.008221900217019011,182
421,少し,0.08062026740217877,179
422,煙,0.001790089,3
423,##たい,0.021254438020149258,67
424,眠,0.008725246256752,25
425,元々,0.55215332052,49
426,ぼ,0.004376989429406923,26
427,##ぼ,0.000978597904025,20
428,始める,0.03047702282360497,181
429,起きる,0.014794581999559998,130
430,がっ,0.007698079017714286,14
431,##かり,0.06721431640428573,7
432,乗る,0.008770877200312745,102
433,帰,0.0031730753291476198,21
434,##ー,0.006149728221158256,321
435,##っと,0.00763871832466265,83
436,いきなり,0.008449265194472224,36
437,思わず,0.05077266565000001,14
438,##わ,0.007004463865113114,61
439,あげる,0.008024798925546391,97
440,襲う,0.028483083892,25
441,一気に,0.015272128799111108,27
442,遠い,0.04240951700096665,30
443,開く,0.04833549632490196,51
444,もの,0.005952202909832142,56
445,##の,0.007231050931075555,180
446,打つ,0.009404470880874998,36
447,おる,0.04564397765814286,119
448,向かう,0.017853137778000003,45
449,どんどん,0.0225616220825,58
450,重い,0.021015331915179482,39
451,め,0.001955452855916667,12
452,##ばい,0.013257645197171875,64
453,かなり,0.12849662562424077,108
454,焦,0.0012260315356999998,20
455,とにかく,0.1901603044914054,111
456,ばかり,0.07426517835062638,182
457,かれ,0.136193412695,8
458,##れ,0.009087533795970442,159
459,切る,0.02856222548966667,69
460,ああ,0.022547762786790475,105
461,散ら,0.008128054425310345,29
462,##かす,0.010612511833614035,57
463,上手,0.006771062051764706,51
464,試,0.0023719243250000005,12
465,合わせる,0.027501982032507942,63
466,続ける,0.02014455696508019,212
467,溢れる,0.0057853556723,20
468,だす,0.009748634562992452,53
