,word,attn_mean,counts
128,ヨ,0.00016425899,2
129,##ロ,0.0013144731556,5
130,##シク,9.662318000000001e-05,1
131,いわゆる,0.41341118983992725,55
132,る,0.022284694722828888,45
133,よく,0.057260373779305804,338
134,かわい,0.006653437542440297,67
135,賢,0.00151840301206,10
136,ね,0.01185364976091669,1097
137,利,0.0028655569342375003,16
138,たつ,0.05924647819895238,42
139,く,0.021892235666787795,200
140,##さい,0.0035520981738524997,120
141,##めん,0.0052682732604448276,58
142,甲,0.006761533100000001,2
143,##高い,0.0014844160500000001,2
144,し,0.005607854004691598,1147
145,##ぬ,0.0004890172605300001,10
146,蔓延,0.0019809199666666667,3
147,その,0.007698600305933571,1181
148,##た,0.005171039374478947,38
149,そ,0.005355724951413084,107
150,##ね,0.000315217657568,5
151,経つ,0.014478885438517762,67
152,変わる,0.00904934292511856,167
153,古く,0.18851680034714288,7
154,出す,0.0068817159818601046,292
155,他,0.015293118006808633,22
156,総じて,0.17012110669999997,4
157,##らう,0.0013824434926431818,22
158,##ぶん,0.032209194939705886,68
159,思う,0.025650295796115077,2397
160,ニコニコ,0.061682754935686965,23
161,最も,0.06679969439514194,31
162,次いで,0.067069024,1
163,喋,0.0007967254109111902,42
164,流れる,0.025018001645901965,51
165,分かる,0.012776018116808958,288
166,ただ,0.265732562971575,156
167,それ,0.008493397165991342,245
168,##だ,0.0015861653025192066,63
169,##け,0.0015886360169721757,71
170,出る,0.0016062615694362006,454
171,書き,0.0238558232793975,40
172,##込む,0.006584247896774615,234
173,え,0.008398920885273293,161
174,じゃ,0.019604881428390463,1113
175,愛,0.0027425813997045555,45
176,怖い,0.032530113163695834,96
177,とても,0.11769954184522886,142
178,驚く,0.03522742860069438,89
179,同時に,0.0663709559671205,39
180,いろ,0.14743618072229545,44
181,##んな,0.01916914353466557,88
182,##関,0.003914569199031828,93
183,##する,0.008474938197262935,150
184,よる,0.0184291951313,40
185,決める,0.012405285163595514,78
186,大きな,0.04372766461425753,93
187,らしい,0.028740366007262295,244
188,対,0.00020656115193999999,5
189,強い,0.0217937740526084,150
190,大,0.02241378570845936,189
191,楽しい,0.015795615161542258,142
192,##より,0.017114893898185185,27
193,伝わる,0.00327653734175,20
194,次,0.0005683868319,3
195,やすい,0.018545948323464307,130
196,かも,0.04885439343640018,324
197,しれ,0.0024437619938795277,239
198,推す,0.06816966166918752,16
199,貢,0.0001674837901333333,3
200,結,0.008148350421336001,100
201,##構,0.01303636250849564,101
202,使う,0.018525730393594418,430
203,いきなり,0.08145873562051904,42
204,食,0.0012205846967658965,116
205,座る,0.012923723908498152,65
206,耐える,0.020455099387886838,19
207,侵,0.004048376200666667,3
208,失,0.0006100276766666667,3
209,こう,0.017185742173908364,104
210,すごい,0.04838534244526996,220
211,狭い,0.06975900125336572,35
212,な,0.0038165430787422917,1379
213,叩く,0.015765769462962816,71
214,##ついて,0.024925320485905077,276
