,word,attn_mean,counts
120,安い,0.025544128329473684,57
121,##さ,0.010896031181780822,146
122,販売,0.020108795553333333,15
123,店,0.021424752079444442,126
124,違う,0.024758875546117023,188
125,店員,0.027224331597297303,37
126,少ない,0.013224467935578948,95
127,人件,0.06285248414285714,7
128,費,0.05855946095679999,50
129,カット,0.06850724949999999,6
130,できる,0.01406316315342556,759
131,とし,0.03098004080658487,489
132,##て,0.019841501040494654,748
133,最も,0.011045783200000003,17
134,思う,0.12108813805050186,1594
135,近く,0.025483826918749997,48
136,ページ,0.07151862285999999,35
137,見る,0.07012300165749658,727
138,上下,0.0374952645076923,13
139,８,0.0507194256197205,322
140,，,0.13899222013142856,35
141,当時,0.1615245164153846,65
142,流,0.03824456163846154,13
143,##石,0.032400972834782604,23
144,すぎる,0.08283359307166667,180
145,ので,0.0823492986751419,881
146,不安,0.01830537663488372,43
147,覚える,0.06015352936194445,72
148,しかし,0.031488682854109586,146
149,ネット,0.030150454520945946,148
150,評判,0.03818296,4
151,悪い,0.06568824678706896,232
152,他,0.024921964049692307,195
153,知る,0.041895838841806025,299
154,案,0.024686362113529408,17
155,##の,0.024739712117972976,148
156,##定,0.00716639018,5
157,やつ,0.3170082173832336,167
158,背,0.020051654328,25
159,##広,0.04530302,2
160,##幅,0.008268944,1
161,犠牲,0.0086546298,5
162,さん,0.13697145892693877,245
163,別,0.024637098447706424,109
164,みる,0.1350050991819178,365
165,こちら,0.04913975679687499,32
166,ほう,0.020313845527887325,142
167,か,0.027790143365152967,2713
168,縫,0.030010587666666668,3
169,##製,0.02326622466666667,3
170,至って,0.00403107,1
171,無,0.01580933300836735,147
172,##難,0.04596498177777778,9
173,でも,0.01374608395119883,684
174,飾り,0.022875785000000003,2
175,生地,0.01174925678888889,9
176,ポリ,0.03572010237142858,7
177,##エス,0.013249849,1
178,##テル,0.011701545999999998,6
179,１,0.005752273912296718,1584
180,％,0.0503327944015493,71
181,ちょっと,0.03658931873651686,178
182,光沢,0.04234779,1
183,目立つ,0.03281675702,15
184,現,0.04473439957733334,15
185,##に,0.014259596801744547,321
186,銀行,0.010302818308333335,12
187,勤め,0.048069326833333335,6
188,人,0.0108215213249491,1886
189,並ぶ,0.0367486241,27
190,やはり,0.06556498966551723,29
191,##っぽ,0.02317621075714286,21
192,見える,0.03949565140254237,118
193,感じ,0.04072777597513513,185
194,柄,0.0387914526625,16
195,黒,0.045180269868181806,22
196,##地,0.011747092883333334,18
197,灰,0.017885522999999997,3
198,地,0.01856173479555555,54
199,紺,0.017564528,1
200,ストライプ,0.060898382,1
201,も,0.006808602166452966,4720
202,値段,0.038521940146666676,15
203,レパートリー,0.08467279550000001,2
204,こんな,0.10212853813214286,224
205,##物,0.035206779506226415,53
206,いい,0.03503699438565385,780
207,う,0.03176618838493121,1381
208,残る,0.032999495653846155,52
209,##しょう,0.051636591,2
210,明日,0.18630153100000002,38
211,パンツ,0.05811557038571428,7
212,姿,0.0317777140125,40
213,しか,0.014771184599781929,321
214,裾,0.0166235365,2
215,上げ,0.0087803167,7
216,お,0.09976098465292621,786
217,##願,0.01086448242903226,31
218,９,0.03452162859012987,308
219,時,0.027723219742528473,439
220,まで,0.03911654966111304,575
221,やる,0.04317473087172195,633
222,おる,0.13062702175822785,79
223,ぬ,0.061685844107951804,415
224,レ,0.019337143926315793,19
225,##シート,0.01645564975,6
226,持つ,0.02618000039471545,246
227,くる,0.07743153878576688,815
228,くれる,0.12292248537804878,451
229,後日,0.0868061328,5
230,上げる,0.025968490309259264,54
231,ます,0.5893475801653765,1421
232,成功,0.057243704652173905,23
233,子孫,0.11539938500000001,2
234,残す,0.019220197426315793,19
235,親,0.07518524822158273,139
236,その,0.06244967635565327,796
237,子供,0.0756793418229572,257
238,こと,0.023273370281570394,2216
239,考える,0.06306502398067484,326
240,よ,0.1634584682874808,1302
241,確か,0.08595261459166666,72
242,方,0.0634801134155779,398
243,パートナー,0.08817104842857144,14
244,獲得,0.32778893971428574,7
245,強,0.029741074003333333,30
246,##者,0.03614320157878788,66
247,言える,0.028878080226436786,87
248,支援,0.1311487676923077,13
249,弱者,0.027567397576923072,13
250,独身,0.040105568284,25
251,子,0.07821327950196531,173
252,層,0.04673316006558823,34
253,へ,0.016861062098319328,238
254,搾取,0.063312261,11
255,かも,0.10206327505936395,283
256,しれ,0.023679274663054188,203
257,だけ,0.014728841907369094,783
258,##ど,0.02602342968048544,103
259,本当,0.0527451858462963,54
260,##は,0.03311563780307692,65
261,どう,0.025570799528422224,450
262,良い,0.061123947746769235,325
263,対象,0.04862565484,35
264,ん,0.0792431548081624,2340
